time,open,high,low,close,volume
2025-12-22 19:00:00,4435.055,4435.705,4429.515,4429.965,3327
2025-12-22 19:15:00,4429.975,4432.875,4428.675,4432.605,2437
2025-12-22 19:30:00,4432.565,4433.885,4431.099,4432.515,1598
2025-12-22 19:45:00,4432.485,4433.665,4431.525,4433.395,1571
2025-12-22 20:00:00,4433.298,4438.445,4433.225,4438.415,2202
2025-12-22 20:15:00,4438.455,4438.505,4431.605,4432.045,2392
2025-12-22 20:30:00,4432.015,4435.285,4431.385,4434.415,2494
2025-12-22 20:45:00,4434.435,4439.098,4433.955,4438.455,4172
2025-12-22 21:00:00,4438.415,4443.135,4438.215,4442.898,2499
2025-12-22 21:15:00,4442.898,4448.795,4442.075,4447.615,2095
2025-12-22 21:30:00,4447.585,4448.945,4444.485,4444.715,1936
2025-12-22 21:45:00,4444.765,4445.845,4442.409,4442.805,1496
2025-12-22 23:00:00,4446.098,4454.885,4444.269,4454.755,1605
2025-12-22 23:15:00,4454.765,4459.405,4454.665,4458.498,2016
2025-12-22 23:30:00,4458.498,4458.598,4452.475,4457.995,1770
2025-12-22 23:45:00,4457.965,4461.598,4454.758,4459.865,2204
2025-12-23 00:00:00,4459.865,4466.445,4457.705,4465.985,2337
2025-12-23 00:15:00,4465.965,4468.295,4463.515,4467.898,1760
2025-12-23 00:30:00,4467.865,4469.698,4466.045,4468.245,1494
2025-12-23 00:45:00,4468.205,4470.325,4467.095,4470.305,1357
2025-12-23 01:00:00,4470.255,4486.435,4470.195,4485.305,6735
2025-12-23 01:15:00,4485.335,4485.815,4469.299,4476.955,6145
2025-12-23 01:30:00,4476.925,4485.645,4476.685,4484.505,4031
2025-12-23 01:45:00,4484.775,4490.485,4481.785,4486.455,3854
2025-12-23 02:00:00,4486.435,4488.225,4481.015,4484.945,4075
2025-12-23 02:15:00,4485.055,4489.235,4484.455,4486.385,1957
2025-12-23 02:30:00,4486.385,4497.345,4486.385,4495.538,3910
2025-12-23 02:45:00,4495.385,4495.798,4488.915,4493.225,3534
2025-12-23 03:00:00,4493.155,4496.475,4485.425,4486.145,4692
2025-12-23 03:15:00,4486.185,4488.625,4482.765,4486.775,4806
2025-12-23 03:30:00,4486.895,4488.665,4485.425,4486.075,3958
2025-12-23 03:45:00,4486.075,4486.899,4483.675,4486.425,3933
2025-12-23 04:00:00,4486.335,4488.145,4484.355,4486.845,3006
2025-12-23 04:15:00,4486.805,4488.115,4484.255,4486.225,2069
2025-12-23 04:30:00,4486.195,4486.855,4483.905,4484.355,2580
2025-12-23 04:45:00,4484.305,4484.915,4478.645,4482.335,3662
2025-12-23 05:00:00,4482.315,4484.665,4479.955,4480.595,3209
2025-12-23 05:15:00,4480.485,4481.425,4476.355,4480.235,4110
2025-12-23 05:30:00,4480.135,4485.375,4476.365,4480.975,5633
2025-12-23 05:45:00,4481.005,4482.475,4474.665,4475.045,4353
2025-12-23 06:00:00,4475.025,4478.005,4469.265,4471.265,4221
2025-12-23 06:15:00,4471.215,4476.365,4470.355,4475.885,3312
2025-12-23 06:30:00,4475.885,4477.598,4474.415,4475.945,3996
