entry_time,exit_time,direction,entry_price,sl,sl_pips,tp1,tp2,tp3,tp4,tp5,grade,score,exit_reason,tp_hits,pnl_usd,balance,session,lot_per_order
2026-03-05 16:45:00,2026-03-05 18:30:00,SELL,5077.1,5076.900000000001,200,5057.1,5037.1,5017.1,4997.1,4977.1,B,22,SL@BE,1,20.8,3496.0,NY,0.01
2026-03-06 08:15:00,2026-03-06 13:30:00,SELL,5099.89,5099.6900000000005,200,5079.89,5059.89,5039.89,5019.89,4999.89,B,22,SL@BE,1,20.8,3516.8,London,0.01
2026-03-06 14:45:00,2026-03-06 16:30:00,BUY,5130.14,5130.34,200,5150.14,5170.14,5190.14,5210.14,5230.14,A+,29,SL@BE,"1,2",60.6,3577.4,LN/NY,0.01
2026-03-06 16:45:00,2026-03-09 00:00:00,BUY,5139.78,5139.98,200,5159.78,5179.78,5199.78,5219.78,5239.78,B,22,SL@BE,1,20.8,3598.2,NY,0.01
2026-03-09 13:30:00,2026-03-09 14:30:00,SELL,5075.51,5095.51,200,5055.51,5035.51,5015.51,4995.51,4975.51,A+,28,SL,,-100.0,3498.2,LN/NY,0.01
2026-03-09 20:45:00,2026-03-09 22:00:00,BUY,5139.24,5119.24,200,5159.24,5179.24,5199.24,5219.24,5239.24,B,22,SL,,-100.0,3398.2,NY,0.01
2026-03-10 14:00:00,2026-03-10 18:15:00,BUY,5195.34,5195.54,200,5215.34,5235.34,5255.34,5275.34,5295.34,A+,33,SL@BE,"1,2",60.6,3458.8,LN/NY,0.01
2026-03-12 10:00:00,2026-03-12 12:00:00,BUY,5187.12,5167.12,200,5207.12,5227.12,5247.12,5267.12,5287.12,A,27,SL,,-100.0,3358.8,London,0.01
2026-03-12 14:00:00,2026-03-12 20:30:00,SELL,5160.52,5160.320000000001,200,5140.52,5120.52,5100.52,5080.52,5060.52,A,24,TP5,"1,2,3,4,5",300.0,3658.8,LN/NY,0.01
2026-03-13 15:30:00,2026-03-13 16:30:00,SELL,5046.18,5045.9800000000005,200,5026.18,5006.18,4986.18,4966.18,4946.18,A+,29,SL@BE,1,20.8,3679.6,LN/NY,0.01
