time,open,high,low,close,volume
2026-03-29 19:00:00,4507.7127,4507.90905,4507.65188,4507.7853,257
2026-03-29 19:15:00,4507.7127,4507.90351,4507.65153,4507.69382,251
2026-03-29 19:30:00,4507.7127,4507.90889,4507.65219,4507.70073,256
2026-03-29 19:45:00,4507.7127,4507.90774,4507.65323,4507.79313,254
2026-03-29 20:00:00,4507.7127,4507.9082,4507.65188,4507.79846,256
2026-03-29 20:15:00,4507.7127,4507.90905,4507.65649,4507.70676,252
2026-03-29 20:30:00,4507.7127,4507.9089,4507.65153,4507.68929,257
2026-03-29 20:45:00,4507.7127,4507.90633,4507.65218,4507.77866,254
2026-03-29 21:00:00,4507.7127,4507.90819,4507.65324,4507.80798,254
2026-03-29 21:15:00,4507.7127,4507.90559,4507.65188,4507.72249,253
2026-03-29 21:30:00,4507.7127,4507.90905,4507.65153,4507.68184,257
2026-03-29 21:45:00,4507.7127,4507.9089,4507.6556,4507.76195,253
2026-03-29 22:00:00,4507.7127,4507.90775,4507.65218,4507.81321,255
2026-03-29 22:15:00,4507.7127,4507.90818,4507.65383,4507.73989,254
2026-03-29 22:30:00,4507.7127,4507.90905,4507.65189,4507.67892,257
2026-03-29 22:45:00,4507.7127,4507.90347,4507.65153,4507.74416,251
2026-03-29 23:00:00,4507.7127,4507.9089,4507.65217,4507.81378,256
2026-03-29 23:15:00,4507.7127,4507.90776,4507.65326,4507.75776,254
2026-03-29 23:30:00,4507.7127,4507.90818,4507.65382,4507.68072,254
2026-03-29 23:45:00,4507.7127,4507.90904,4507.65189,4507.72653,257
2026-03-30 00:00:00,4507.7127,4507.90345,4507.65153,4507.80964,251
2026-03-30 00:15:00,4507.7127,4507.90891,4507.65217,4507.77484,256
2026-03-30 00:30:00,4507.7127,4507.90776,4507.65326,4507.68713,254
2026-03-30 00:45:00,4507.7127,4507.90817,4507.65189,4507.7103,256
2026-03-30 01:00:00,4507.7127,4507.90904,4507.65644,4507.80109,252
2026-03-30 01:15:00,4507.7127,4507.90891,4507.65153,4507.78994,257
2026-03-30 01:30:00,4507.7127,4507.90629,4507.65216,4507.69768,254
2026-03-30 01:45:00,4507.7127,4507.90817,4507.65327,4507.6966,254
2026-03-30 02:00:00,4507.7127,4507.90563,4507.6519,4507.78872,253
2026-03-30 02:15:00,4507.7127,4507.90904,4507.65152,4507.802,257
2026-03-30 02:30:00,4507.7127,4507.90891,4507.65565,4507.71164,253
2026-03-30 02:45:00,4507.7127,4507.90778,4507.65216,4507.68639,255
2026-03-30 03:00:00,4507.7127,4507.90816,4507.65379,4507.7734,254
2026-03-30 03:15:00,4507.7127,4507.90904,4507.6519,4507.81019,257
2026-03-30 03:30:00,4507.7127,4507.90341,4507.65152,4507.72805,251
2026-03-30 03:45:00,4507.7127,4507.90891,4507.65215,4507.68038,256
2026-03-30 04:00:00,4507.7127,4507.90778,4507.65329,4507.7562,254
2026-03-30 04:15:00,4507.7127,4507.90816,4507.6519,4507.81392,256
2026-03-30 04:30:00,4507.7127,4507.90904,4507.6564,4507.74574,252
2026-03-30 04:45:00,4507.7127,4507.90892,4507.65152,4507.67899,257
2026-03-30 05:00:00,4507.7127,4507.89017,4507.63074,4507.72152,259
2026-03-30 05:15:00,4507.69663,4507.89926,4507.63884,4507.79449,260
2026-03-30 05:30:00,4507.6933,4507.89584,4507.63171,4507.76631,264
2026-03-30 05:45:00,4507.71444,4507.8929,4507.64608,4507.67238,246
2026-03-30 06:00:00,4507.70215,4507.8926,4507.64134,4507.71442,251
2026-03-30 06:15:00,4507.70669,4507.90024,4507.6441,4507.79069,256
2026-03-30 06:30:00,4507.69564,4507.90824,4507.64066,4507.77443,267
2026-03-30 06:45:00,4507.70656,4507.88919,4507.64165,4507.67826,247
